ID;Дата;Время;Офис ID;Менеджер ID;Группа;Товар ID;Производитель ID;Количество;Сумма;Возврат
0;20.07.2015;18:34:25;3;9;1;2547;32;1;5058,9;нет
1;20.07.2015;18:52:25;3;9;1;1438;13;1;12639;нет
2;20.07.2015;19:58:25;2;7;7;3932;5;2;1295,8;нет
3;20.07.2015;20:43:25;0;1;8;507;1;1;3628,9;нет
4;20.07.2015;20:58:25;2;8;14;4516;6;1;1252,9;да
5;21.07.2015;08:45:25;2;6;6;3981;7;2;19206;нет
6;21.07.2015;10:16:25;1;5;5;4365;5;1;3564;нет
7;21.07.2015;12:15:25;0;2;4;4287;33;1;7147,8;нет
8;21.07.2015;12:36:25;2;8;5;2402;14;1;13748,9;нет
9;21.07.2015;12:58:25;3;9;12;206;5;1;9300,5;нет
10;21.07.2015;14:05:25;3;10;9;2768;45;1;1639;нет
11;21.07.2015;15:09:25;1;5;19;4427;33;1;1309;нет
12;21.07.2015;16:03:25;3;9;16;4325;3;1;3729;да
13;21.07.2015;17:49:25;3;9;5;3447;6;1;1651,1;нет
14;21.07.2015;18:22:25;1;4;18;4119;37;2;4378;нет
15;21.07.2015;18:36:25;0;1;8;310;22;1;8470;нет
16;21.07.2015;19:25:25;2;8;22;4459;11;1;1419;нет
17;21.07.2015;20:20:25;2;7;8;1776;6;1;5830;нет
18;21.07.2015;21:39:25;1;5;13;208;4;1;9300,5;нет
19;21.07.2015;21:42:25;2;8;10;3187;6;2;1735,8;нет
20;21.07.2015;22:06:25;2;8;8;1776;6;1;5830;нет
21;21.07.2015;22:19:25;2;8;17;364;6;2;12122;нет
22;22.07.2015;08:08:25;2;7;0;3054;26;1;1556,5;нет
23;22.07.2015;08:11:25;1;3;13;486;25;1;11869;да
24;22.07.2015;08:26:25;2;8;13;357;6;1;25949;да
25;22.07.2015;10:05:25;2;8;6;509;35;2;7257,8;нет
26;22.07.2015;11:07:25;1;3;21;4216;12;1;10437,9;нет
27;22.07.2015;11:49:25;2;6;9;1526;17;1;7038,9;нет
28;22.07.2015;12:04:25;3;10;4;4498;26;1;1089;нет
29;22.07.2015;12:32:25;0;2;4;3978;9;1;778,8;нет
30;22.07.2015;13:26:25;1;3;11;3406;1;1;3289;нет
31;22.07.2015;15:17:25;2;6;20;955;54;1;5388,9;да
32;22.07.2015;15:32:25;3;10;4;4348;10;1;5819;нет
33;22.07.2015;15:45:25;2;7;10;4248;56;2;2310;нет
34;22.07.2015;17:12:25;0;2;5;2786;15;1;1371,7;нет
35;22.07.2015;17:20:25;0;2;5;1737;33;1;1274,9;нет
36;22.07.2015;17:29:25;3;10;3;3140;50;1;2585;нет
37;22.07.2015;17:50:25;0;1;18;4392;53;2;1188;нет
38;22.07.2015;17:51:25;1;3;20;1385;6;1;5388,9;нет
39;22.07.2015;18:10:25;1;4;20;1034;54;1;4224;нет
40;22.07.2015;18:13:25;2;6;7;3499;21;2;12078;нет
41;22.07.2015;18:22:25;2;6;17;364;5;2;12122;нет
42;22.07.2015;18:30:25;3;9;9;2237;7;1;5258;нет
43;22.07.2015;19:02:25;1;4;6;4076;33;1;649;нет
44;22.07.2015;19:16:25;1;4;14;2313;50;1;6422,9;нет
45;22.07.2015;20:15:25;3;11;22;2039;43;1;4222,9;нет
46;22.07.2015;21:42:25;2;8;16;3046;24;1;803;нет
47;22.07.2015;21:46:25;2;7;14;4516;5;1;1252,9;нет
48;22.07.2015;21:50:25;3;10;4;1593;18;1;6556;нет
49;22.07.2015;22:05:25;1;5;16;1712;6;1;9339;нет
50;22.07.2015;22:32:25;2;6;9;4397;27;1;949,3;да
51;22.07.2015;22:37:25;3;10;8;1426;0;1;6743;нет
52;22.07.2015;22:41:25;3;9;8;3223;6;1;5610;нет
53;22.07.2015;22:46:25;3;9;4;4220;34;1;1628;нет
54;23.07.2015;11:54:25;3;11;20;4502;54;1;1089;нет
55;23.07.2015;12:24:25;2;7;9;914;45;1;3564;нет
56;23.07.2015;12:33:25;0;0;4;3164;22;1;4389;нет
57;23.07.2015;13:00:25;2;8;3;3428;14;1;19679;нет
58;23.07.2015;13:19:25;3;11;14;1163;22;1;13145;нет
59;23.07.2015;13:29:25;3;9;13;357;6;1;25949;нет
60;23.07.2015;13:45:25;0;2;3;1172;2;1;4288,9;нет
61;23.07.2015;13:47:25;3;9;17;364;5;2;12122;нет
62;23.07.2015;14:12:25;2;6;11;3406;27;1;3289;нет
63;23.07.2015;14:21:25;2;8;2;1088;1;1;55429;нет
64;23.07.2015;14:26:25;1;3;18;4392;50;1;594;нет
65;23.07.2015;15:17:25;3;9;5;4328;11;1;979;нет
66;23.07.2015;16:09:25;0;2;1;453;33;1;8349;нет
67;23.07.2015;16:17:25;1;3;2;2126;1;1;2187,9;нет
68;23.07.2015;16:20:25;1;5;7;2283;27;1;4398,9;нет
69;23.07.2015;16:27:25;2;7;16;2707;5;1;4950;нет
70;23.07.2015;16:41:25;3;9;11;3573;43;1;3792,8;нет
71;23.07.2015;16:42:25;2;8;4;2795;5;1;2145;нет
72;23.07.2015;17:36:25;2;6;6;1560;27;1;4158;нет
73;23.07.2015;17:44:25;2;6;20;1385;63;1;5388,9;нет
74;23.07.2015;18:13:25;2;8;20;955;54;1;5388,9;нет
75;23.07.2015;18:23:25;2;8;20;1385;63;1;5388,9;нет
76;23.07.2015;18:32:25;1;4;5;481;10;1;18705,5;нет
77;23.07.2015;18:36:25;3;9;3;1466;42;1;5965,3;нет
78;23.07.2015;19:11:25;1;5;20;765;63;1;5368;нет
79;23.07.2015;19:51:25;0;1;9;3170;42;1;5489;нет
80;23.07.2015;20:18:25;1;4;19;3220;33;1;5819;да
81;23.07.2015;21:17:25;3;9;1;1213;42;1;14289;нет
82;23.07.2015;21:28:25;3;11;8;3223;7;2;11220;нет
83;23.07.2015;21:36:25;0;2;0;2627;53;1;4068,9;нет
84;23.07.2015;22:12:25;1;3;4;4481;25;1;1529;нет
85;23.07.2015;22:28:25;3;11;5;410;33;1;3388;нет
86;23.07.2015;22:37:25;0;2;5;4373;6;1;7469;нет
87;23.07.2015;22:46:25;3;10;10;937;54;2;8797,8;нет
88;23.07.2015;22:47:25;2;7;7;3323;9;1;1469,6;нет
89;23.07.2015;22:54:25;1;4;5;4297;41;1;1109,9;нет
