ID;Категория;Артикул;Имя товара;Цена;Количество;Производитель;Опция:Цвет;GroupID;GroupID;ManufID
0;Мобильные телефоны;756614;Мобильный телефон Samsung Galaxy S7 32GB;15939;11;Samsung;;0;;0
1;Мобильные телефоны;756614;Мобильный телефон Samsung Galaxy S7 32GB;15 939,0;4;Samsung;золотистый;1;;0
2;Мобильные телефоны;756614;Мобильный телефон Samsung Galaxy S7 32GB;26 389,0;7;Samsung;розовый;2;;0
3;Мобильные телефоны;756614;Мобильный телефон Samsung Galaxy S7 32GB;26 455,0;6;Samsung;серебристый;3;;0
4;Мобильные телефоны;756614;Мобильный телефон Samsung Galaxy S7 32GB;15 939,0;5;Samsung;черный;4;;0
5;Мобильные телефоны;756614;Мобильный телефон Samsung Galaxy S7 32GB;15 939,0;8;Samsung;белый;5;;0
6;Мобильные телефоны;1062263;Мобильный телефон Xiaomi Redmi 4x 32GB;9339,0;3;Xiaomi;;0;;1
7;Мобильные телефоны;1062263;Мобильный телефон Xiaomi Redmi 4x 32GB;9 559,0;11;Xiaomi;золотистый;1;;1
8;Мобильные телефоны;1062263;Мобильный телефон Xiaomi Redmi 4x 32GB;9 339,0;12;Xiaomi;розовый;2;;1
9;Мобильные телефоны;1062263;Мобильный телефон Xiaomi Redmi 4x 32GB;9 559,0;9;Xiaomi;черный;4;;1
10;Мобильные телефоны;756658;Мобильный телефон Samsung Galaxy S7 Edge 32GB;22330,0;13;Samsung;;0;;0
11;Мобильные телефоны;756658;Мобильный телефон Samsung Galaxy S7 Edge 32GB;22 330,0;8;Samsung;золотистый;1;;0
12;Мобильные телефоны;756658;Мобильный телефон Samsung Galaxy S7 Edge 32GB;19 800,0;4;Samsung;розовый;2;;0
13;Мобильные телефоны;756658;Мобильный телефон Samsung Galaxy S7 Edge 32GB;30 052,0;11;Samsung;серебристый;3;;0
14;Мобильные телефоны;756658;Мобильный телефон Samsung Galaxy S7 Edge 32GB;22 330,0;15;Samsung;черный;4;;0
15;Мобильные телефоны;756658;Мобильный телефон Samsung Galaxy S7 Edge 32GB;22 330,0;7;Samsung;белый;5;;0
16;Мобильные телефоны;756658;Мобильный телефон Samsung Galaxy S7 Edge 32GB;39 598,9;13;Samsung;синий;6;;0
17;Мобильные телефоны;916176;Мобильный телефон Apple iPhone 7 32GB;27720;6;Apple;;0;;2
18;Мобильные телефоны;916176;Мобильный телефон Apple iPhone 7 32GB;27 720,0;12;Apple;золотистый;1;;2
19;Мобильные телефоны;916176;Мобильный телефон Apple iPhone 7 32GB;27 901,5;9;Apple;красный;7;;2
20;Мобильные телефоны;916176;Мобильный телефон Apple iPhone 7 32GB;27 720,0;2;Apple;розовый;2;;2
