ID;Производитель
0;Samsung
1;Xiaomi
2;Apple
3;OnePlus
4;Huawei
5;Sony
6;Nokia
7;HTC
8;Meizu
9;ZTE
10;LG
11;Motorola
12;Asus
13;Doogee
14;Alcatel
15;WileyFox
16;Google
17;Blackview
18;BQ
19;LeEco
20;Oukitel
21;OPPO
22;Sony Ericsson
23;Lenovo
24;Philips
25;Highscreen
26;Stark
27;Digma
28;Texet
29;Microsoft
30;Turbo
31;Elephone
32;ARK
33;Fly
34;BlackBerry
35;Homtom
36;Micromax
37;Vertex
38;UleFone
39;CATerpillar
40;Vivo
41;ELARI
42;TP-LINK
43;Prestigio
44;MTC
45;Ginzzu
46;Oysters
47;SENSEIT
48;Jinga
49;RugGear
50;Maxvi
51;Onext
52;Irbis
53;Lexand
54;Haier
55;Intex
56;ZOJI
57;Hiper
58;Acer
59;Energizer
60;Archos
61;4Good
62;Akai
63;Qumo
64;Black Fox
65;xDevice
